Borough Location,Park Location,Sports Played,Week Start Date,Week End Date,Sunday's Attendance,Monday's Attendance,Tuesday's Attendance,Wednesday's Attendance,Thursday's Attendance,Friday's Attendance,Saturday's Attendance,Attendance Sum
Queens,Playground for All Children,"Lacrosse, Basketball, Soccer",06/17/2018,06/23/2018,0,0,123,193,121,93,0,530
Brooklyn,Sunset Park,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",07/05/2018,07/06/2018,0,42,39,0,184,94,0,359
Brooklyn,Sunset Park,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",07/09/2018,07/13/2018,0,184,170,194,203,180,0,931
Queens,Playground for All Children,"Basketball, Lacrosse, Volleyball, baseball, flag football",07/01/2018,07/07/2018,0,0,0,0,214,75,321,610
Bronx,Williamsbridge Oval,"Basketball,Volleyball, Arts and Crafts, Kickball, Soccer",07/01/2018,07/07/2018,0,24,20,0,13,15,0,72
Bronx,Williamsbridge Oval,"Soccer,Tennis, Track and Field, Basketball",06/24/2018,06/30/2018,0,2,15,20,25,0,0,62
Brooklyn,Sunset Park,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",07/16/2018,07/20/2018,0,189,104,236,164,162,0,855
Queens,Playground for All Children,"Softball, basketball, agility training, drills, jacks, lacrosse",07/08/2018,07/14/2018,0,0,319,344,232,361,161,1417
Bronx,Williamsbridge Oval,"Soccer, Kickball,Volleyball, Flag Football, Basketball",07/08/2018,07/14/2018,0,3,42,66,35,13,0,159
Bronx,Williamsbridge Oval,"Pickle Ball, Soccer, Basketball,Frisbee,Track and Field",07/15/2018,07/21/2018,20,30,14,34,0,67,0,165
Brooklyn,Sunset Park,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",07/23/2018,07/27/2018,0,90,184,52,156,138,0,620
Queens,Playground for All Children,Baseball Football Basketball Soccer,07/15/2018,07/21/2018,0,0,207,271,229,403,150,1260
Queens,Playground for All Children,basketball Baseball Soccer Football,07/15/2018,07/21/2018,0,0,103,220,204,147,192,866
Queens,Playground for All Children,Football Basketball Baseball,07/15/2018,07/21/2018,0,0,103,220,204,147,192,866
Manhattan,Thomas Jefferson Park,varies sports,07/09/2018,07/13/2018,0,6,7,10,7,8,0,38
Manhattan,Thomas Jefferson Park,various sports,07/16/2018,07/20/2018,0,7,9,8,9,10,0,43
Manhattan,Thomas Jefferson Park,various sports,07/23/2018,07/27/2018,0,6,9,7,8,9,0,39
Staten Island,Playground for All Children,flag football / basketball/ pickleball/bocce/volleyball,07/22/2018,07/28/2018,0,0,70,45,80,25,200,420
Staten Island,Playground for All Children,basketball/flag football,07/01/2018,07/07/2018,0,0,0,0,85,60,90,235
Staten Island,Playground for All Children,flag football/ basketball/bocce,07/08/2018,07/14/2018,0,0,0,45,65,70,200,380
Staten Island,Playground for All Children,basketball/ flag football/  bocce,07/15/2018,07/21/2018,0,0,60,50,75,80,40,305
Brooklyn,Sunset Park,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",07/30/2018,08/03/2018,0,138,162,73,125,0,0,498
Brooklyn,Sunset Park,"Fitness Friday, Soccer, Basketball, Dance,Track",05/07/2018,05/11/2018,0,36,31,33,32,22,0,154
Brooklyn,Sunset Park,"Fitness Friday, Soccer, Basketball, Dance,Track",05/14/2018,05/18/2018,0,46,46,47,37,36,0,212
Brooklyn,Sunset Park,"Fitness Friday, Soccer, Basketball, Dance,Track",05/21/2018,05/25/2018,0,47,40,44,36,49,0,216
Brooklyn,Sunset Park,"Fitness Friday, Soccer, Basketball, Dance,Track",05/28/2018,06/01/2018,0,43,48,48,39,37,0,215
Brooklyn,Sunset Park,"Fitness Friday, Soccer, Basketball, Dance,Track",06/04/2018,06/08/2018,0,45,39,42,31,50,0,207
Brooklyn,Sunset Park,"Fitness Friday, Soccer, Basketball, Dance,Track",06/11/2018,06/15/2018,0,37,42,31,30,27,0,167
Brooklyn,Sunset Park,"Fitness Friday, Soccer, Basketball, Dance,Track",06/18/2018,06/22/2018,0,27,23,22,25,18,0,115
Brooklyn,Sunset Park,"Fitness Friday, Soccer, Basketball, Dance,Track",06/25/2018,06/29/2018,0,18,12,20,17,15,0,82
Brooklyn,Sunset Park,"Fitness Friday, Soccer, Basketball, Dance,Track",04/30/2018,05/04/2018,0,46,42,42,47,45,0,222
Brooklyn,Sunset Park,"Fitness Friday, Soccer, Basketball, Dance,Track",04/16/2018,04/20/2018,0,42,53,39,43,50,0,227
Brooklyn,Sunset Park,"Fitness Friday, Soccer, Basketball, Dance,Track",04/23/2018,04/27/2018,0,33,47,41,23,49,0,193
Queens,Playground for All Children,Basketball Soccer Baseball,07/22/2018,07/28/2018,0,0,60,0,150,108,0,318
Queens,Playground for All Children,Lacrosse Basketball Soccer Basketball,07/22/2018,07/28/2018,0,0,1441,0,93,174,0,1708
Queens,Playground for All Children,Soccer Basketball Baseball,07/22/2018,07/28/2018,0,0,197,0,100,211,0,508
Brooklyn,Sunset Park,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",08/06/2018,08/10/2018,0,96,56,95,115,141,0,503
Brooklyn,Sunset Park,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",08/13/2018,08/17/2018,0,42,141,0,135,72,0,390
Staten Island,Playground for All Children,"basketball, bocce, flag football",08/05/2018,08/11/2018,0,0,60,65,35,48,0,208
Bronx,Williamsbridge Oval,"Basketball, kickball, pickle Ball, soccer, Flag Football,",07/22/2018,07/28/2018,0,19,31,27,35,55,0,167
Bronx,Williamsbridge Oval,"Basketball, soccer, Pickleball, kickball, Flag Football,",07/29/2018,08/04/2018,0,31,42,40,36,27,0,176
Bronx,Williamsbridge Oval,"Basketball, Soccer,Flag Football, Kickball,",08/05/2018,08/11/2018,0,25,41,33,24,37,5,165
Brooklyn,Sunset Park,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",08/21/2018,08/24/2018,0,132,138,80,162,144,0,656
Queens,Playground for All Children,Handball Basketball Soccer,08/05/2018,08/11/2018,0,0,279,114,123,106,0,622
Queens,Playground for All Children,Basketball Soccer Baseball,08/05/2018,08/11/2018,0,0,85,105,220,0,0,410
Queens,Playground for All Children,Lacrosse Basketball Soccer,08/05/2018,08/11/2018,0,0,82,105,0,320,0,507
Queens,Playground for All Children,"Flag football, lacrosse, volleyball, basketball, baseball, soccer",08/12/2018,08/18/2018,0,0,162,0,227,201,155,745
Manhattan,Thomas Jefferson Park,Basketball,07/09/2018,07/13/2018,0,0,0,0,0,0,0,0
Manhattan,Thomas Jefferson Park,Street Hockey,07/16/2018,07/20/2018,0,33,0,0,0,0,0,33
Manhattan,Thomas Jefferson Park,Track & Field,07/23/2018,07/27/2018,0,27,0,0,0,0,0,27
Manhattan,Thomas Jefferson Park,Softball,07/30/2018,08/03/2018,0,15,0,0,0,0,0,15
Manhattan,Thomas Jefferson Park,Soccer,08/06/2018,08/10/2018,0,14,0,0,0,0,0,14
Manhattan,Thomas Jefferson Park,Soccer,08/13/2018,08/17/2018,0,4,0,0,0,0,0,4
Manhattan,Thomas Jefferson Park,Flag Football,08/20/2018,08/24/2018,0,7,0,0,0,0,0,7
Queens,Playground for All Children,lacrosse basketball volleyball soccer,08/19/2018,08/19/2018,0,0,209,140,176,118,273,916
Brooklyn,Sunset Park,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",08/27/2018,08/31/2018,0,87,80,37,42,26,0,272
Brooklyn,Sunset Park,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",09/04/2018,09/07/2018,0,0,25,0,0,0,0,25
Staten Island,Playground for All Children,"flag football, basketball, bocce",07/29/2018,08/04/2018,0,0,42,28,52,25,32,179
Queens,Playground for All Children,basketball football soccer,08/26/2018,09/01/2018,0,0,104,123,75,42,202,546
Bronx,Williamsbridge Oval,"Basketball, Soccer, Flag Football, Kickball",07/29/2018,08/04/2018,0,20,24,27,24,31,15,141
Bronx,Williamsbridge Oval,"Track and Field, Soccer , Basketball, Tennis",08/05/2018,08/11/2018,0,0,35,20,15,29,2,101
Bronx,Williamsbridge Oval,"Basketball, Pickleball, Tennis , Soccer",08/12/2018,08/18/2018,0,25,27,16,12,31,12,123
Bronx,Williamsbridge Oval,"Basketball, Track and Field, Soccer, Pickle Ball, Tennis",08/19/2018,08/25/2018,0,24,33,29,25,23,10,144
Bronx,Williamsbridge Oval,"Tennis, Soccer ,Kickball, Flag Football",08/26/2018,09/01/2018,0,37,24,31,21,23,12,148
Bronx,Williamsbridge Oval,"Soccer, Basketball, Kickball, Track and Field,",09/02/2018,09/08/2018,0,12,17,15,21,25,11,101
Queens,Playground for All Children,Basketball soccer football baseball,09/09/2018,09/15/2018,0,0,14,2,4,23,195,238
Queens,Playground for All Children,"Basketball, football, soccer, flag football",09/29/2019,10/05/2019,28,15,0,15,0,52,60,170
Queens,Playground for All Children,"Basketball, Soccer, Football, Volleyball",09/22/2019,09/28/2019,22,17,0,25,0,35,55,154
Queens,Playground for All Children,"Basketball, Soccer, Football",09/15/2019,09/21/2019,21,15,0,0,0,37,50,123
Queens,Playground for All Children,none,08/25/2019,08/31/2019,0,0,0,0,0,0,0,0
Queens,Playground for All Children,football,08/18/2019,08/24/2019,0,0,0,40,43,55,65,203
Queens,Playground for All Children,soccer,08/11/2019,08/17/2019,0,0,40,25,21,30,42,158
Bronx,Williamsbridge Oval,"Soccer, Basketball, Flag Football",09/08/2019,09/14/2019,0,15,18,20,12,16,5,86
Bronx,Williamsbridge Oval,"Soccer, Basketball, Flag Football",09/08/2019,09/14/2019,0,15,18,20,12,16,5,86
Bronx,Williamsbridge Oval,"Soccer , Basketball, flag football",09/01/2019,09/07/2019,0,19,22,26,31,28,5,131
Bronx,Williamsbridge Oval,"Basketball, soccer, Flag Football, group Games",08/25/2019,08/31/2019,0,22,26,20,16,12,25,121
Bronx,Williamsbridge Oval,"Basketball, Soccer, Volleyball, Flag football, group Games",08/18/2019,08/24/2019,0,5,10,12,15,25,16,83
Queens,Playground for All Children,basketball,09/08/2019,09/14/2019,11,15,0,0,0,0,40,66
Bronx,Williamsbridge Oval,"basketball, soccer, volleyball, water games",08/11/2019,08/17/2019,0,9,0,798,29,0,0,836
Bronx,Williamsbridge Oval,"soccer, basketball, flag football, arts n crafts, volleyball, water games",08/04/2019,08/10/2019,0,38,24,33,0,0,0,95
Bronx,Williamsbridge Oval,"basketball, soccer,",07/28/2019,08/03/2019,0,0,3,17,40,0,0,60
Bronx,Williamsbridge Oval,"Basketball, bingo, dodgeball, soccer",07/21/2019,07/27/2019,0,17,25,32,16,0,0,90
Staten Island,CPL. Thompson Park,"flag football , basketball, soccer",08/20/2019,08/24/2019,0,0,45,50,36,42,15,188
Queens,Playground for All Children,Football,09/01/2019,09/07/2019,0,0,0,0,0,0,60,60
Staten Island,CPL. Thompson Park,"Basketball, Flag football , T-ball",08/13/2019,08/17/2019,0,0,45,1050,40,50,15,1200
Brooklyn,Sunset Park,"Basketball, Flag Football, Badmiton, Field Games, Soccer",08/12/2019,08/16/2019,0,10,8,9,8,6,0,41
Brooklyn,Sunset Park,"T-Ball, Pickleball, Cornhole, Badmiton, Volleyball",08/05/2019,08/09/2019,0,16,12,15,10,11,0,64
Queens,Playground for All Children,Track & field,08/04/2019,08/10/2019,0,0,0,13,0,50,30,93
Queens,Playground for All Children,basketball,07/28/2019,08/03/2019,0,0,37,40,38,55,32,202
Staten Island,CPL. Thompson Park,"Basketball, flag football",08/06/2019,08/10/2019,0,0,20,25,15,30,8,98
Staten Island,CPL. Thompson Park,"Basketball, flag football, soccer",07/30/2019,08/03/2019,0,0,25,15,40,30,10,120
Brooklyn,Sunset Park,"Bowling, Volleyball, Baskeball, Track & Field, Soccer, T Ball",07/29/2019,08/02/2019,0,22,15,18,19,14,0,88
Brooklyn,Sunset Park,"Flag Football, Basketball, Volleyball, Bowling, Badmiton, Soccer, Track and Field",07/22/2019,07/26/2019,0,19,21,13,10,17,0,80
Brooklyn,Sunset Park,"Soccer, Basketball, Structured Play, Badmiton, Volleyball, Ulimate Frisbee",07/15/2019,07/19/2019,0,14,16,8,10,18,0,66
Brooklyn,Sunset Park,"Soccer, Basketball, Flag football, Kickball, Badmiton, Bowling, Volleyball",07/08/2019,07/12/2019,0,22,19,15,18,10,0,84
Queens,Playground for All Children,Dodge ball Soccer Track and field,07/21/2019,07/27/2019,0,0,41,95,48,37,109,330
Staten Island,CPL. Thompson Park,"Flag football, Basketball, soccer",07/23/2019,07/27/2019,0,0,40,35,30,50,0,155
Queens,Playground for All Children,"Baseball, soccer, basketball, badminton, kickball, relay race",07/14/2019,07/20/2019,0,0,0,113,120,51,0,284
Queens,Playground for All Children,footbal track and field,07/07/2019,07/13/2019,0,0,0,30,38,0,37,105
Staten Island,CPL. Thompson Park,"flag football , basketball, soccer",07/16/2019,07/20/2019,0,0,40,35,45,20,15,155
Bronx,Williamsbridge Oval,"Soccer, group Games, basket ball, volley ball",07/14/2019,07/20/2019,0,38,18,55,0,54,2,167
Bronx,Williamsbridge Oval,"soccer , basketball, volleyball, group games",07/07/2019,07/13/2019,0,0,17,25,23,54,10,129
Bronx,Williamsbridge Oval,"Soccer, basketball, voleyball, water balloon toss, group games",06/30/2019,07/06/2019,0,24,35,41,0,30,22,152
Staten Island,CPL. Thompson Park,"Flag Football, Basketball,Soccer",07/09/2019,07/13/2019,0,0,55,50,70,300,15,490
Queens,Playground for All Children,baseball basketball soccer,06/30/2019,07/06/2019,0,0,10,160,0,0,144,314
Queens,Playground for All Children,baseball,06/23/2019,06/29/2019,0,80,87,83,90,0,112,452
Staten Island,CPL. Thompson Park,"Flag football,basketball,t-ball,soccer,track",07/02/2019,07/06/2019,0,0,40,35,0,40,20,135
Queens,Playground for All Children,soccer,06/16/2019,06/22/2019,0,0,0,6,5,13,60,84
Queens,Playground for All Children,soccer,06/16/2019,06/22/2019,0,0,0,6,5,13,60,84
Bronx,Williamsbridge Oval,"Basketball, soccer, street hockey, obstacle course.",06/23/2019,06/29/2019,0,6,71,16,15,22,0,130
Bronx,Williamsbridge Oval,Due to weather we played group games.,06/16/2019,06/22/2019,0,2,0,5,0,9,0,16
Bronx,Williamsbridge Oval,Flag football and soccer,06/09/2019,06/15/2019,0,0,34,0,0,7,0,41
Bronx,Williamsbridge Oval,"Soccer, Group games, volley Ball, Basketball",06/02/2019,06/08/2019,0,0,30,18,75,39,0,162
Queens,Playground for All Children,baseball volleyball basketball,06/09/2019,06/15/2019,0,0,17,66,5,77,0,165
Queens,Playground for All Children,"track and field, basketball",06/09/2019,06/15/2019,0,0,17,66,5,77,0,165
Queens,Playground for All Children,"Basketball, Soccer, Frisbee, Baseball",06/02/2019,06/08/2019,0,0,24,20,0,39,33,116
Queens,Playground for All Children,Soccer,05/26/2019,06/01/2019,0,0,8,31,44,73,0,156
Bronx,Williamsbridge Oval,"soccer , basketball, volleyball, relay races",05/26/2019,06/01/2019,0,0,0,15,0,3,30,48
Queens,Playground for All Children,Basketball,05/19/2019,05/25/2019,0,16,35,0,50,19,0,120
Bronx,Williamsbridge Oval,"Basketball, soccer , catch, obstacle course",05/19/2019,05/25/2019,0,5,17,38,21,16,0,97
Bronx,Williamsbridge Oval,"Soccer, golf, group game- hula hoop tag",05/12/2019,05/18/2019,0,0,0,35,45,25,0,105
Bronx,Williamsbridge Oval,"Hula Hoop, Volley Ball, Soccer, Catch, Basketball.",05/05/2019,05/11/2019,0,10,15,5,25,22,0,77
Queens,Playground for All Children,"Soccer, football, basketball, softball",04/28/2019,05/04/2019,0,0,191,0,76,0,166,433
Queens,Playground for All Children,softball soccer,04/21/2019,04/27/2019,0,0,347,362,9,0,0,718
Staten Island,CPL. Thompson Park,"Football, Basketball",09/07/2021,09/09/2021,0,0,20,0,0,0,0,20
Staten Island,CPL. Thompson Park,"Football, Frisbee, Basketball",08/31/2021,09/02/2021,0,0,18,0,23,0,0,41
Staten Island,CPL. Thompson Park,"Football, Frisbee, Soccer",08/24/2021,08/26/2021,0,0,20,0,26,0,0,46
Brooklyn,John J Carty Playground,"Basketball, Volleyball, Pickleball, Street Hockey, Football, Soccer, Team Handball, Youth Strength, Frisbee, Senior Fitness.",08/30/2021,09/03/2021,0,46,54,0,0,0,0,100
Brooklyn,John J Carty Playground,"Basketball, Volleyball, Pickleball, Street Hockey, Football, Soccer, Team Handball, Youth Strength, Frisbee, Senior Fitness.",08/23/2021,08/27/2021,0,0,17,21,19,26,0,83
Queens,Mafera Park,Soccer Basketball,08/05/2021,08/26/2021,0,0,0,0,56,0,0,56
Queens,Electric Playground,Soccer,08/04/2021,08/25/2021,0,0,0,60,0,0,0,60
Queens,Real Good Playground,Soccer Basketball,08/03/2021,08/25/2021,0,0,50,0,0,0,0,50
Queens,Mafera Park,Basketball,07/01/2021,07/29/2021,0,0,0,0,56,0,0,56
Queens,Electric Playground,Soccer basketball,07/07/2021,07/28/2021,0,0,0,20,0,0,0,20
Queens,Real Good Playground,Soccer basketball,07/06/2021,07/27/2021,0,0,60,0,0,0,0,60
Queens,Electric Playground,Basketball,06/23/2021,06/30/2021,0,0,0,25,0,0,0,25
Queens,Real Good Playground,Soccer Basketball,06/22/2021,06/29/2021,0,0,20,0,0,0,0,20
Queens,Mafera Park,Basketball,09/17/2021,09/18/2021,0,0,0,0,10,0,0,10
Queens,Electric Playground,Soccer,06/16/2021,06/19/2021,0,0,0,5,0,0,0,5
Queens,Real Good Playground,Basketball,06/15/2021,06/19/2021,0,0,15,0,0,0,0,15
Queens,Mafera Park,Basketball soccer,06/10/2021,06/12/2021,0,0,0,0,15,0,0,15
Queens,Electric Playground,Soccer Basketball,06/09/2021,06/12/2021,0,0,0,5,0,0,0,5
Queens,Real Good Playground,Basketball,06/08/2021,06/12/2021,0,0,10,0,0,0,0,10
Queens,Mafera Park,Soccer,06/03/2021,06/05/2021,0,0,0,0,5,0,0,5
Queens,Electric Playground,Basketball,06/02/2021,06/05/2021,0,0,0,15,0,0,0,15
Queens,Electric Playground,"Basketball, soccer, Flag football",06/01/2021,06/05/2021,0,0,10,0,0,0,0,10
Bronx,Williamsbridge Oval,"Baseball, Volleyball, Soccer, Football, Tennis",08/23/2021,08/27/2021,0,35,30,38,28,0,0,131
Brooklyn,John J Carty Playground,"Basketball, Volleyball, Pickleball, Street Hockey, Football, Soccer, Team Handball, Youth Strength, Frisbee, Senior Fitness.",08/16/2021,08/20/2021,0,41,43,57,36,23,0,200
Bronx,Williamsbridge Oval,"Baseball, Soccer,  Football, Tennis,",08/16/2021,08/20/2021,0,41,48,60,33,31,0,213
Staten Island,Midland Beach,Soccer and football,08/08/2021,08/15/2021,0,0,0,0,0,0,0,0
Brooklyn,John J Carty Playground,"Basketball, Volleyball, Pickleball, Street Hockey, Football, Soccer, Team Handball, Youth Strength, Frisbee, Senior Fitness.",08/09/2021,08/13/2021,0,33,27,23,11,13,0,107
Bronx,Williamsbridge Oval,"Baseball, Volleyball, Soccer, Football, Tennis",08/09/2021,08/13/2021,0,31,48,37,17,97,0,230
Staten Island,CPL. Thompson Park,"Soccer, kickball, pickleball, basketball, football",08/03/2021,08/05/2021,0,0,40,0,32,0,0,72
Bronx,Williamsbridge Oval,"Volleyball, Football, Baseball, Soccer, Tennis",08/02/2021,08/06/2021,0,35,61,29,22,25,0,172
Brooklyn,John J Carty Playground,"Basketball, Volleyball, Pickleball, Street Hockey, Football, Soccer, Team Handball, Youth Strength, Frisbee, Senior Fitness.",08/02/2021,08/06/2021,0,49,68,71,33,27,0,248
Staten Island,CPL. Thompson Park,"Basketball, Kickball, Frisbee, Sports drills",07/27/2021,07/29/2021,0,0,25,0,30,0,0,55
Bronx,Williamsbridge Oval,"Baseball, Soccer, football",07/26/2021,07/30/2021,0,37,37,44,0,0,0,118
Brooklyn,John J Carty Playground,"Street hockey, basketball, team handball, youth strength, kickball, volleyball, pickleball, soccer, frisbee, football, biking, carnival games, football, senior strength",07/26/2021,07/30/2021,0,46,44,57,47,51,0,245
Staten Island,CPL. Thompson Park,"Football, Basketball, Kickball, Sport drills",07/20/2021,07/22/2021,0,0,40,0,28,0,0,68
Queens,Real Good Playground,"Basketball, Soccer",07/27/2021,07/27/2021,0,0,12,0,0,0,0,12
Queens,Mafera Park,"Basketball, Flag football",07/22/2021,07/22/2021,0,0,0,0,19,0,0,19
Queens,Electric Playground,"Basketball, Flag football",07/21/2021,07/21/2021,0,0,0,5,0,0,0,5
Queens,Real Good Playground,"Basketball, Soccer",07/20/2021,07/20/2021,0,0,10,0,0,0,0,10
Queens,Mafera Park,"Basketball, Flag football",07/15/2021,07/15/2021,0,0,0,0,20,0,0,20
Queens,Real Good Playground,"Basketball, Flag football",07/13/2021,07/13/2021,0,0,15,0,0,0,0,15
Queens,Electric Playground,"Basketball, Flag football",07/14/2021,07/14/2021,0,0,0,10,0,0,0,10
Queens,Mafera Park,"Basketball, Soccer",07/08/2021,07/08/2021,0,0,0,0,20,0,0,20
Queens,Electric Playground,"Basketball, Soccer",07/07/2021,07/07/2021,0,0,0,15,0,0,0,15
Queens,Real Good Playground,"Basketball, Soccer",07/06/2021,07/06/2021,0,0,20,0,0,0,0,20
Brooklyn,John J Carty Playground,"Street hockey, basketball, team handball, youth strength, kickball, volleyball, pickleball, soccer, frisbee, football, biking, carnival games, football, senior strength",07/19/2021,07/23/2021,0,41,43,45,56,51,0,236
Bronx,Williamsbridge Oval,"Tennis, Football, Hockey, Track & Field, Dodgeball",07/19/2021,07/23/2021,0,36,34,29,31,23,0,153
Staten Island,CPL. Thompson Park,"Basketball, Soccer, Dodgeball",07/13/2021,07/15/2021,0,0,35,0,40,0,0,75
Brooklyn,John J Carty Playground,"Street hockey, basketball, team handball, youth strength, kickball, volleyball, pickleball, soccer, frisbee, football, biking, carnival games, football, senior strength",07/12/2021,07/16/2021,0,47,71,73,34,51,0,276
Brooklyn,John J Carty Playground,"Street hockey, basketball, team handball, youth strength, kickball, volleyball, pickleball, soccer, frisbee, football, biking, carnival games, football, senior strength",07/05/2021,07/09/2021,0,0,20,39,34,31,0,124
Bronx,Williamsbridge Oval,"Street Hockey, Baseball, Fitness, Soccer, Track & Field",07/05/2021,07/09/2021,0,35,22,0,50,25,0,132
Bronx,Williamsbridge Oval,"Football, Baseball, Soccer, Hockey",06/28/2021,07/02/2021,0,23,25,10,22,19,0,99
Bronx,Williamsbridge Oval,"Football, Fitness, Hockey, Baseball, Soccer",06/21/2021,06/25/2021,0,27,22,19,28,24,0,120
Bronx,Williamsbridge Oval,"Football, baseball, fitness, hockey, soccer",05/17/2021,05/21/2021,0,10,15,11,8,6,0,50
Bronx,Williamsbridge Oval,"football, baseball, hockey, soccer fitness",05/24/2021,05/28/2021,0,21,21,27,20,16,0,105
Bronx,Williamsbridge Oval,"Football, baseball, hockey, fitness, track & field",05/31/2021,06/04/2021,0,25,27,30,22,24,0,128
Bronx,Williamsbridge Oval,"Hockey, Football, Baseball, Fitness, soccer",06/07/2021,06/11/2021,0,20,23,25,23,22,0,113
Bronx,Williamsbridge Oval,"football, soccer, hockey, baseball, track",06/14/2021,06/18/2021,0,26,29,30,28,29,0,142
