Datum;Uhrzeit;Spielgruppe;Mannschaft 1;Mannschaft 2;Gastgeber;Austragungsort/Ergebnis;Austragungsort;Ergebnis;Saison;Spielrunde;Geschlecht;Satzpunkte;Ballpunkte;Spieldauer;Zuschauerzahl;Satzpunkte 1;:;Satzpunkte 2;Satz 1 - Ballpunkte 1;:;Satz 1 - Ballpunkte 2;Satz 1 - Satzdauer;Satz 2 - Ballpunkte 1;:;Satz 2 - Ballpunkte 2;Satz 2 - Satzdauer;Satz 3 - Ballpunkte 1;:;Satz 3 - Ballpunkte 2;Satz 3 - Satzdauer;Satz 4 - Ballpunkte 1;:;Satz 4 - Ballpunkte 2;Satz 4 - Satzdauer;Satz 5 - Ballpunkte 1;:;Satz 5 - Ballpunkte 2;Satz 5 - Satzdauer
25.03.2023;17:30:00;Viertelfinale Playoff 2-7 (Best of 3);SVG Lüneburg;Energiequelle Netzhoppers KW-Bestensee;SVG Lüneburg;3:1 / 96:75;LKH Arena (21339 Lüneburg);3:1 / 96:75;2022/23;1. Bundesliga Männer Playoff;männlich;03:01;96:75;92;2370;3;:;1;25;:;14;21;25;:;14;20;21;:;25;24;25;:;22;27;;;;
25.03.2023;20:00:00;Viertelfinale Playoff 1-8 (Best of 3);BERLIN RECYCLING Volleys;TSV Haching München;BERLIN RECYCLING Volleys;3:0 / 75:45;Max-Schmeling-Halle (10437 Berlin);3:0 / 75:45;2022/23;1. Bundesliga Männer Playoff;männlich;03:00;75:45:00;66;3519;3;:;0;25;:;16;22;25;:;19;24;25;:;10;20;;;;;;;;
26.03.2023;15:00:00;Viertelfinale Playoff 4-5 (Best of 3);SWD powervolleys Düren;WWK Volleys Herrsching;SWD powervolleys Düren;3:1 / 98:84;Arena Kreis Düren (52349 Düren);3:1 / 98:84;2022/23;1. Bundesliga Männer Playoff;männlich;03:01;98:84;106;600;3;:;1;23;:;25;29;25;:;17;23;25;:;21;28;25;:;21;26;;;;
26.03.2023;17:30:00;Viertelfinale Playoff 3-6 (Best of 3);VfB Friedrichshafen;Helios GRIZZLYS Giesen;VfB Friedrichshafen;2:3 / 100:101;SPACETECH ARENA (88046 Friedrichshafen);2:3 / 100:101;2022/23;1. Bundesliga Männer Playoff;männlich;02:03;100:101;117;1000;2;:;3;20;:;25;28;23;:;25;30;25;:;13;19;25;:;23;27;7;:;15;13
01.04.2023;17:30:00;Viertelfinale Playoff 3-6 (Best of 3);Helios GRIZZLYS Giesen;VfB Friedrichshafen;Helios GRIZZLYS Giesen;1:3 / 91:98;Volksbank-Arena Hildesheim (31137 Hildesheim);1:3 / 91:98;2022/23;1. Bundesliga Männer Playoff;männlich;01:03;91:98;125;2267;1;:;3;25;:;27;32;25;:;21;33;18;:;25;27;23;:;25;33;;;;
02.04.2023;15:00:00;Viertelfinale Playoff 2-7 (Best of 3);Energiequelle Netzhoppers KW-Bestensee;SVG Lüneburg;Energiequelle Netzhoppers KW-Bestensee;1:3 / 92:98;Landkost-Arena Bestensee (15741 Bestensee);1:3 / 92:98;2022/23;1. Bundesliga Männer Playoff;männlich;01:03;92:98;108;463;1;:;3;19;:;25;23;25;:;19;23;21;:;25;28;27;:;29;34;;;;
02.04.2023;17:30:00;Viertelfinale Playoff 1-8 (Best of 3);TSV Haching München;BERLIN RECYCLING Volleys;TSV Haching München;0:3 / 51:75;Geothermie Arena (82008 Unterhaching);0:3 / 51:75;2022/23;1. Bundesliga Männer Playoff;männlich;00:03;51:75;61;563;0;:;3;18;:;25;22;20;:;25;21;13;:;25;18;;;;;;;;
04.04.2023;20:00:00;Viertelfinale Playoff 4-5 (Best of 3);WWK Volleys Herrsching;SWD powervolleys Düren;WWK Volleys Herrsching;0:3 / 66:79;BMW Park (81373 München);0:3 / 66:79;2022/23;1. Bundesliga Männer Playoff;männlich;00:03;66:79;84;2700;0;:;3;18;:;25;26;27;:;29;30;21;:;25;28;;;;;;;;
08.04.2023;20:00:00;Viertelfinale Playoff 3-6 (Best of 3);VfB Friedrichshafen;Helios GRIZZLYS Giesen;VfB Friedrichshafen;3:2 / 110:99;SPACETECH ARENA (88046 Friedrichshafen);3:2 / 110:99;2022/23;1. Bundesliga Männer Playoff;männlich;03:02;110:99;118;1000;3;:;2;25;:;27;30;25;:;23;29;20;:;25;27;25;:;14;20;15;:;10;12
12.04.2023;19:00:00;Halbfinale Playoff 2-3 (Best of 5);SVG Lüneburg;VfB Friedrichshafen;SVG Lüneburg;2:3 / 103:101;LKH Arena (21339 Lüneburg);2:3 / 103:101;2022/23;1. Bundesliga Männer Playoff;männlich;02:03;103:101;115;2600;2;:;3;20;:;25;26;25;:;17;21;21;:;25;25;25;:;19;25;12;:;15;18
12.04.2023;19:45:00;Halbfinale Playoff 1-4 (Best of 5);BERLIN RECYCLING Volleys;SWD powervolleys Düren;BERLIN RECYCLING Volleys;3:1 / 91:87;Max-Schmeling-Halle (10437 Berlin);3:1 / 91:87;2022/23;1. Bundesliga Männer Playoff;männlich;03:01;91:87;109;5178;3;:;1;16;:;25;23;25;:;17;27;25;:;23;30;25;:;22;29;;;;
15.04.2023;19:30:00;Halbfinale Playoff 1-4 (Best of 5);SWD powervolleys Düren;BERLIN RECYCLING Volleys;SWD powervolleys Düren;1:3 / 87:94;Arena Kreis Düren (52349 Düren);1:3 / 87:94;2022/23;1. Bundesliga Männer Playoff;männlich;01:03;87:94;108;2237;1;:;3;20;:;25;24;20;:;25;26;25;:;19;24;22;:;25;34;;;;
16.04.2023;17:30:00;Halbfinale Playoff 2-3 (Best of 5);VfB Friedrichshafen;SVG Lüneburg;VfB Friedrichshafen;3:0 / 75:68;SPACETECH ARENA (88046 Friedrichshafen);3:0 / 75:68;2022/23;1. Bundesliga Männer Playoff;männlich;03:00;75:68;81;1000;3;:;0;25;:;22;25;25;:;23;25;25;:;23;31;;;;;;;;
19.04.2023;19:00:00;Halbfinale Playoff 2-3 (Best of 5);SVG Lüneburg;VfB Friedrichshafen;SVG Lüneburg;3:0 / 75:65;LKH Arena (21339 Lüneburg);3:0 / 75:65;2022/23;1. Bundesliga Männer Playoff;männlich;03:00;75:65;76;2511;3;:;0;25;:;23;25;25;:;19;24;25;:;23;27;;;;;;;;
19.04.2023;19:45:00;Halbfinale Playoff 1-4 (Best of 5);BERLIN RECYCLING Volleys;SWD powervolleys Düren;BERLIN RECYCLING Volleys;3:1 / 91:79;Max-Schmeling-Halle (10437 Berlin);3:1 / 91:79;2022/23;1. Bundesliga Männer Playoff;männlich;03:01;91:79;96;3914;3;:;1;25;:;22;23;25;:;19;28;16;:;25;24;25;:;13;21;;;;
23.04.2023;17:30:00;Halbfinale Playoff 2-3 (Best of 5);VfB Friedrichshafen;SVG Lüneburg;VfB Friedrichshafen;3:1 / 97:84;SPACETECH ARENA (88046 Friedrichshafen);3:1 / 97:84;2022/23;1. Bundesliga Männer Playoff;männlich;03:01;97:84;108;1000;3;:;1;25;:;20;25;22;:;25;28;25;:;17;27;25;:;22;28;;;;
01.05.2023;18:00:00;Finale Playoff 1-2 (Best of 5);BERLIN RECYCLING Volleys;VfB Friedrichshafen;BERLIN RECYCLING Volleys;3:1 / 103:92;Max-Schmeling-Halle (10437 Berlin);3:1 / 103:92;2022/23;1. Bundesliga Männer Playoff;männlich;03:01;103:92;117;6892;3;:;1;25;:;21;26;25;:;22;31;28;:;30;35;25;:;19;25;;;;
04.05.2023;20:00:00;Finale Playoff 1-2 (Best of 5);VfB Friedrichshafen;BERLIN RECYCLING Volleys;VfB Friedrichshafen;0:3 / 45:75;SPACETECH ARENA (88046 Friedrichshafen);0:3 / 45:75;2022/23;1. Bundesliga Männer Playoff;männlich;00:03;45:75;65;1000;0;:;3;18;:;25;27;11;:;25;18;16;:;25;20;;;;;;;;
06.05.2023;20:00:00;Finale Playoff 1-2 (Best of 5);BERLIN RECYCLING Volleys;VfB Friedrichshafen;BERLIN RECYCLING Volleys;3:1 / 93:86;Max-Schmeling-Halle (10437 Berlin);3:1 / 93:86;2022/23;1. Bundesliga Männer Playoff;männlich;03:01;93:86;108;8553;3;:;1;25;:;18;25;25;:;18;23;16;:;25;22;27;:;25;38;;;;
