Datum;Uhrzeit;ST;Mannschaft 1;Mannschaft 2;Gastgeber;Austragungsort/Ergebnis;Austragungsort;Ergebnis;Saison;Spielrunde;Geschlecht;Satzpunkte;Ballpunkte;Spieldauer;Zuschauerzahl;Satzpunkte 1;:;Satzpunkte 2;Satz 1 - Ballpunkte 1;:;Satz 1 - Ballpunkte 2;Satz 1 - Satzdauer;Satz 2 - Ballpunkte 1;:;Satz 2 - Ballpunkte 2;Satz 2 - Satzdauer;Satz 3 - Ballpunkte 1;:;Satz 3 - Ballpunkte 2;Satz 3 - Satzdauer;Satz 4 - Ballpunkte 1;:;Satz 4 - Ballpunkte 2;Satz 4 - Satzdauer;Satz 5 - Ballpunkte 1;:;Satz 5 - Ballpunkte 2;Satz 5 - Satzdauer
08.10.2022;17:30:00;Spieltag 1;Energiequelle Netzhoppers KW-Bestensee;Helios GRIZZLYS Giesen;Energiequelle Netzhoppers KW-Bestensee;2:3 / 109:106;Landkost-Arena Bestensee (15741 Bestensee);2:3 / 109:106;2022/23;1. Bundesliga Männer;männlich;02:03;109:106;134;415;2;:;3;26;:;28;29;25;:;18;28;23;:;25;32;25;:;20;28;10;:;15;17
08.10.2022;20:00:00;Spieltag 1;WWK Volleys Herrsching;SWD powervolleys Düren;WWK Volleys Herrsching;3:1 / 92:82;BMW Park (81373 München);3:1 / 92:82;2022/23;1. Bundesliga Männer;männlich;03:01;92:82;112;900;3;:;1;17;:;25;27;25;:;17;27;25;:;20;29;25;:;20;29;;;;
09.10.2022;16:00:00;Spieltag 1;TSV Haching München;BERLIN RECYCLING Volleys;TSV Haching München;0:3 / 62:78;Geothermie Arena (82008 Unterhaching);0:3 / 62:78;2022/23;1. Bundesliga Männer;männlich;00:03;62:78;82;150;0;:;3;21;:;25;29;15;:;25;23;26;:;28;30;;;;;;;;
09.10.2022;17:30:00;Spieltag 1;SVG Lüneburg;VCO Berlin;SVG Lüneburg;3:0 / 75:42;LKH Arena (21339 Lüneburg);3:0 / 75:42;2022/23;1. Bundesliga Männer;männlich;03:00;75:42:00;68;1050;3;:;0;25;:;9;20;25;:;15;23;25;:;18;25;;;;;;;;
15.10.2022;17:30:00;Spieltag 2;Helios GRIZZLYS Giesen;TSV Haching München;Helios GRIZZLYS Giesen;3:0 / 75:44;Volksbank-Arena Hildesheim (31137 Hildesheim);3:0 / 75:44;2022/23;1. Bundesliga Männer;männlich;03:00;75:44:00;78;976;3;:;0;25;:;14;28;25;:;12;23;25;:;18;27;;;;;;;;
15.10.2022;20:00:00;Spieltag 2;SWD powervolleys Düren;Energiequelle Netzhoppers KW-Bestensee;SWD powervolleys Düren;3:0 / 75:56;Arena Kreis Düren (52349 Düren);3:0 / 75:56;2022/23;1. Bundesliga Männer;männlich;03:00;75:56:00;79;1000;3;:;0;25;:;18;29;25;:;19;26;25;:;19;24;;;;;;;;
16.10.2022;13:00:00;Spieltag 2;VCO Berlin;WWK Volleys Herrsching;VCO Berlin;1:3 / 82:97;Sportforum Berlin (13053 Berlin);1:3 / 82:97;2022/23;1. Bundesliga Männer;männlich;01:03;82:97;102;78;1;:;3;16;:;25;24;25;:;22;26;18;:;25;25;23;:;25;27;;;;
16.10.2022;16:00:00;Spieltag 2;BERLIN RECYCLING Volleys;VfB Friedrichshafen;BERLIN RECYCLING Volleys;3:1 / 104:92;Max-Schmeling-Halle (10437 Berlin);3:1 / 104:92;2022/23;1. Bundesliga Männer;männlich;03:01;104:92;118;5238;3;:;1;24;:;26;29;30;:;28;36;25;:;16;23;25;:;22;30;;;;
19.10.2022;19:00:00;Spieltag 3;TSV Haching München;VfB Friedrichshafen;TSV Haching München;0:3 / 53:75;Geothermie Arena (82008 Unterhaching);0:3 / 53:75;2022/23;1. Bundesliga Männer;männlich;00:03;53:75;70;150;0;:;3;20;:;25;27;17;:;25;21;16;:;25;22;;;;;;;;
19.10.2022;19:30:00;Spieltag 3;Helios GRIZZLYS Giesen;SWD powervolleys Düren;Helios GRIZZLYS Giesen;2:3 / 99:106;Volksbank-Arena Hildesheim (31137 Hildesheim);2:3 / 99:106;2022/23;1. Bundesliga Männer;männlich;02:03;99:106;137;836;2;:;3;16;:;25;26;25;:;19;29;23;:;25;31;25;:;22;31;10;:;15;20
20.10.2022;19:00:00;Spieltag 3;Energiequelle Netzhoppers KW-Bestensee;VCO Berlin;Energiequelle Netzhoppers KW-Bestensee;3:0 / 75:45;Landkost-Arena Bestensee (15741 Bestensee);3:0 / 75:45;2022/23;1. Bundesliga Männer;männlich;03:00;75:45:00;71;225;3;:;0;25;:;12;21;25;:;17;26;25;:;16;24;;;;;;;;
22.10.2022;17:30:00;Spieltag 4;BERLIN RECYCLING Volleys;WWK Volleys Herrsching;BERLIN RECYCLING Volleys;3:0 / 75:58;Max-Schmeling-Halle (10437 Berlin);3:0 / 75:58;2022/23;1. Bundesliga Männer;männlich;03:00;75:58:00;77;4845;3;:;0;25;:;22;27;25;:;15;24;25;:;21;26;;;;;;;;
22.10.2022;20:00:00;Spieltag 4;SWD powervolleys Düren;TSV Haching München;SWD powervolleys Düren;3:0 / 75:50;Arena Kreis Düren (52349 Düren);3:0 / 75:50;2022/23;1. Bundesliga Männer;männlich;03:00;75:50:00;71;750;3;:;0;25;:;15;23;25;:;19;23;25;:;16;25;;;;;;;;
26.10.2022;18:00:00;Spieltag 4;VCO Berlin;Helios GRIZZLYS Giesen;VCO Berlin;0:3 / 56:75;Sportforum Berlin (13053 Berlin);0:3 / 56:75;2022/23;1. Bundesliga Männer;männlich;00:03;56:75;75;89;0;:;3;21;:;25;25;18;:;25;27;17;:;25;23;;;;;;;;
26.10.2022;19:30:00;Spieltag 3;SVG Lüneburg;BERLIN RECYCLING Volleys;SVG Lüneburg;1:3 / 100:108;LKH Arena (21339 Lüneburg);1:3 / 100:108;2022/23;1. Bundesliga Männer;männlich;01:03;100:108;125;1326;1;:;3;25;:;27;34;27;:;25;30;19;:;25;26;29;:;31;35;;;;
29.10.2022;20:00:00;Spieltag 5;WWK Volleys Herrsching;VfB Friedrichshafen;WWK Volleys Herrsching;0:3 / 61:75;BMW Park (81373 München);0:3 / 61:75;2022/23;1. Bundesliga Männer;männlich;00:03;61:75;78;1750;0;:;3;22;:;25;27;21;:;25;27;18;:;25;24;;;;;;;;
30.10.2022;15:00:00;Spieltag 5;SWD powervolleys Düren;VCO Berlin;SWD powervolleys Düren;3:0 / 75:52;Arena Kreis Düren (52349 Düren);3:0 / 75:52;2022/23;1. Bundesliga Männer;männlich;03:00;75:52:00;71;300;3;:;0;25;:;14;22;25;:;20;25;25;:;18;24;;;;;;;;
30.10.2022;16:00:00;Spieltag 5;TSV Haching München;SVG Lüneburg;TSV Haching München;0:3 / 54:75;Geothermie Arena (82008 Unterhaching);0:3 / 54:75;2022/23;1. Bundesliga Männer;männlich;00:03;54:75;71;103;0;:;3;20;:;25;24;21;:;25;27;13;:;25;20;;;;;;;;
30.10.2022;17:30:00;Spieltag 5;Energiequelle Netzhoppers KW-Bestensee;BERLIN RECYCLING Volleys;Energiequelle Netzhoppers KW-Bestensee;1:3 / 95:100;Landkost-Arena Bestensee (15741 Bestensee);1:3 / 95:100;2022/23;1. Bundesliga Männer;männlich;01:03;95:100;113;537;1;:;3;27;:;29;34;21;:;25;25;25;:;21;27;22;:;25;27;;;;
12.11.2022;17:30:00;Spieltag 6;BERLIN RECYCLING Volleys;Helios GRIZZLYS Giesen;BERLIN RECYCLING Volleys;3:0 / 75:46;Max-Schmeling-Halle (10437 Berlin);3:0 / 75:46;2022/23;1. Bundesliga Männer;männlich;03:00;75:46:00;79;3754;3;:;0;25;:;14;28;25;:;12;23;25;:;20;28;;;;;;;;
12.11.2022;20:00:00;Spieltag 6;VfB Friedrichshafen;Energiequelle Netzhoppers KW-Bestensee;VfB Friedrichshafen;3:0 / 75:64;Messehalle B2 (88046 Friedrichshafen);3:0 / 75:64;2022/23;1. Bundesliga Männer;männlich;03:00;75:64;77;862;3;:;0;25;:;20;26;25;:;22;24;25;:;22;27;;;;;;;;
13.11.2022;15:00:00;Spieltag 6;SVG Lüneburg;WWK Volleys Herrsching;SVG Lüneburg;3:2 / 111:108;LKH Arena (21339 Lüneburg);3:2 / 111:108;2022/23;1. Bundesliga Männer;männlich;03:02;111:108;129;1248;3;:;2;21;:;25;25;24;:;26;31;26;:;24;30;25;:;20;24;15;:;13;19
13.11.2022;17:30:00;Spieltag 6;VCO Berlin;TSV Haching München;VCO Berlin;0:3 / 62:77;Sportforum Berlin (13053 Berlin);0:3 / 62:77;2022/23;1. Bundesliga Männer;männlich;00:03;62:77;78;126;0;:;3;16;:;25;22;21;:;25;27;25;:;27;29;;;;;;;;
19.11.2022;17:30:00;Spieltag 7;Helios GRIZZLYS Giesen;VfB Friedrichshafen;Helios GRIZZLYS Giesen;2:3 / 119:121;Volksbank-Arena Hildesheim (31137 Hildesheim);2:3 / 119:121;2022/23;1. Bundesliga Männer;männlich;02:03;119:121;148;1573;2;:;3;25;:;21;28;33;:;35;40;27;:;25;34;23;:;25;30;11;:;15;16
19.11.2022;20:00:00;Spieltag 7;SWD powervolleys Düren;BERLIN RECYCLING Volleys;SWD powervolleys Düren;1:3 / 79:94;Arena Kreis Düren (52349 Düren);1:3 / 79:94;2022/23;1. Bundesliga Männer;männlich;01:03;79:94;100;2100;1;:;3;10;:;25;19;25;:;18;25;20;:;25;26;24;:;26;30;;;;
20.11.2022;15:00:00;Spieltag 7;Energiequelle Netzhoppers KW-Bestensee;SVG Lüneburg;Energiequelle Netzhoppers KW-Bestensee;0:3 / 49:75;Landkost-Arena Bestensee (15741 Bestensee);0:3 / 49:75;2022/23;1. Bundesliga Männer;männlich;00:03;49:75;72;313;0;:;3;11;:;25;22;20;:;25;26;18;:;25;24;;;;;;;;
20.11.2022;17:30:00;Spieltag 7;TSV Haching München;WWK Volleys Herrsching;TSV Haching München;0:3 / 53:75;Geothermie Arena (82008 Unterhaching);0:3 / 53:75;2022/23;1. Bundesliga Männer;männlich;00:03;53:75;72;964;0;:;3;18;:;25;25;21;:;25;26;14;:;25;21;;;;;;;;
25.11.2022;20:00:00;Spieltag 8;WWK Volleys Herrsching;Energiequelle Netzhoppers KW-Bestensee;WWK Volleys Herrsching;3:1 / 101:95;BMW Park (81373 München);3:1 / 101:95;2022/23;1. Bundesliga Männer;männlich;03:01;101:95;111;1400;3;:;1;25;:;22;27;29;:;27;32;22;:;25;27;25;:;21;25;;;;
26.11.2022;17:00:00;Spieltag 8;BERLIN RECYCLING Volleys;VCO Berlin;BERLIN RECYCLING Volleys;3:0 / 75:56;Sportforum Berlin (13053 Berlin);3:0 / 75:56;2022/23;1. Bundesliga Männer;männlich;03:00;75:56:00;73;481;3;:;0;25;:;17;23;25;:;23;27;25;:;16;23;;;;;;;;
26.11.2022;17:30:00;Spieltag 8;VfB Friedrichshafen;SWD powervolleys Düren;VfB Friedrichshafen;3:0 / 75:59;Messehalle B2 (88046 Friedrichshafen);3:0 / 75:59;2022/23;1. Bundesliga Männer;männlich;03:00;75:59:00;77;865;3;:;0;25;:;22;27;25;:;14;23;25;:;23;27;;;;;;;;
26.11.2022;20:00:00;Spieltag 8;SVG Lüneburg;Helios GRIZZLYS Giesen;SVG Lüneburg;3:1 / 101:89;LKH Arena (21339 Lüneburg);3:1 / 101:89;2022/23;1. Bundesliga Männer;männlich;03:01;101:89;118;1650;3;:;1;25;:;27;32;25;:;21;29;25;:;17;27;26;:;24;30;;;;
30.11.2022;19:30:00;Spieltag 9;Helios GRIZZLYS Giesen;WWK Volleys Herrsching;Helios GRIZZLYS Giesen;3:1 / 97:93;Volksbank-Arena Hildesheim (31137 Hildesheim);3:1 / 97:93;2022/23;1. Bundesliga Männer;männlich;03:01;97:93;119;1160;3;:;1;26;:;24;29;25;:;22;29;21;:;25;31;25;:;22;30;;;;
03.12.2022;17:30:00;Spieltag 9;VCO Berlin;VfB Friedrichshafen;VCO Berlin;0:3 / 64:78;Sportforum Berlin (13053 Berlin);0:3 / 64:78;2022/23;1. Bundesliga Männer;männlich;00:03;64:78;77;73;0;:;3;24;:;26;27;25;:;27;29;15;:;25;21;;;;;;;;
03.12.2022;20:00:00;Spieltag 9;SWD powervolleys Düren;SVG Lüneburg;SWD powervolleys Düren;1:3 / 89:97;Arena Kreis Düren (52349 Düren);1:3 / 89:97;2022/23;1. Bundesliga Männer;männlich;01:03;89:97;114;1130;1;:;3;25;:;22;28;20;:;25;27;21;:;25;29;23;:;25;30;;;;
04.12.2022;17:30:00;Spieltag 9;Energiequelle Netzhoppers KW-Bestensee;TSV Haching München;Energiequelle Netzhoppers KW-Bestensee;3:2 / 110:94;Landkost-Arena Bestensee (15741 Bestensee);3:2 / 110:94;2022/23;1. Bundesliga Männer;männlich;03:02;110:94;107;204;3;:;2;25;:;16;21;25;:;16;20;21;:;25;24;24;:;26;28;15;:;11;14
07.12.2022;20:00:00;Spieltag 13;WWK Volleys Herrsching;BERLIN RECYCLING Volleys;WWK Volleys Herrsching;0:3 / 58:75;BMW Park (81373 München);0:3 / 58:75;2022/23;1. Bundesliga Männer;männlich;00:03;58:75;71;1000;0;:;3;22;:;25;24;19;:;25;24;17;:;25;23;;;;;;;;
08.12.2022;19:30:00;Spieltag 4;VfB Friedrichshafen;SVG Lüneburg;VfB Friedrichshafen;3:1 / 95:87;Messehalle B2 (88046 Friedrichshafen);3:1 / 95:87;2022/23;1. Bundesliga Männer;männlich;03:01;95:87;103;600;3;:;1;20;:;25;27;25;:;20;25;25;:;22;26;25;:;20;25;;;;
10.12.2022;15:00:00;Spieltag 10;BERLIN RECYCLING Volleys;TSV Haching München;BERLIN RECYCLING Volleys;3:0 / 75:44;Max-Schmeling-Halle (10437 Berlin);3:0 / 75:44;2022/23;1. Bundesliga Männer;männlich;03:00;75:44:00;69;3127;3;:;0;25;:;14;23;25;:;16;23;25;:;14;23;;;;;;;;
11.12.2022;15:00:00;Spieltag 10;Helios GRIZZLYS Giesen;Energiequelle Netzhoppers KW-Bestensee;Helios GRIZZLYS Giesen;3:1 / 103:92;Volksbank-Arena Hildesheim (31137 Hildesheim);3:1 / 103:92;2022/23;1. Bundesliga Männer;männlich;03:01;103:92;109;1073;3;:;1;23;:;25;28;25;:;20;25;30;:;28;32;25;:;19;24;;;;
11.12.2022;16:00:00;Spieltag 10;VCO Berlin;SVG Lüneburg;VCO Berlin;0:3 / 40:75;Sportforum Berlin (13053 Berlin);0:3 / 40:75;2022/23;1. Bundesliga Männer;männlich;00:03;40:75;62;78;0;:;3;13;:;25;19;11;:;25;20;16;:;25;23;;;;;;;;
11.12.2022;17:30:00;Spieltag 10;SWD powervolleys Düren;WWK Volleys Herrsching;SWD powervolleys Düren;3:0 / 75:58;Arena Kreis Düren (52349 Düren);3:0 / 75:58;2022/23;1. Bundesliga Männer;männlich;03:00;75:58:00;73;1135;3;:;0;25;:;19;23;25;:;19;25;25;:;20;25;;;;;;;;
14.12.2022;19:30:00;Spieltag 13;Helios GRIZZLYS Giesen;VCO Berlin;Helios GRIZZLYS Giesen;3:0 / 75:52;Volksbank-Arena Hildesheim (31137 Hildesheim);3:0 / 75:52;2022/23;1. Bundesliga Männer;männlich;03:00;75:52:00;72;745;3;:;0;25;:;21;25;25;:;15;24;25;:;16;23;;;;;;;;
16.12.2022;20:00:00;Spieltag 11;WWK Volleys Herrsching;VCO Berlin;WWK Volleys Herrsching;3:0 / 75:54;BMW Park (81373 München);3:0 / 75:54;2022/23;1. Bundesliga Männer;männlich;03:00;75:54:00;77;1000;3;:;0;25;:;16;26;25;:;18;25;25;:;20;26;;;;;;;;
17.12.2022;18:00:00;Spieltag 11;TSV Haching München;Helios GRIZZLYS Giesen;TSV Haching München;1:3 / 84:93;Geothermie Arena (82008 Unterhaching);1:3 / 84:93;2022/23;1. Bundesliga Männer;männlich;01:03;84:93;100;150;1;:;3;22;:;25;29;25;:;18;23;17;:;25;22;20;:;25;26;;;;
17.12.2022;20:00:00;Spieltag 11;VfB Friedrichshafen;BERLIN RECYCLING Volleys;VfB Friedrichshafen;3:2 / 114:114;Messehalle B2 (88046 Friedrichshafen);3:2 / 114:114;2022/23;1. Bundesliga Männer;männlich;03:02;114:114;136;1312;3;:;2;29;:;27;34;20;:;25;24;25;:;23;28;25;:;27;32;15;:;12;18
18.12.2022;15:00:00;Spieltag 11;Energiequelle Netzhoppers KW-Bestensee;SWD powervolleys Düren;Energiequelle Netzhoppers KW-Bestensee;1:3 / 77:97;Landkost-Arena Bestensee (15741 Bestensee);1:3 / 77:97;2022/23;1. Bundesliga Männer;männlich;01:03;77:97;100;268;1;:;3;16;:;25;24;25;:;22;27;17;:;25;24;19;:;25;25;;;;
27.12.2022;19:00:00;Spieltag 12;SWD powervolleys Düren;Helios GRIZZLYS Giesen;SWD powervolleys Düren;3:1 / 97:93;Arena Kreis Düren (52349 Düren);3:1 / 97:93;2022/23;1. Bundesliga Männer;männlich;03:01;97:93;117;750;3;:;1;25;:;19;27;25;:;22;28;18;:;25;27;29;:;27;35;;;;
27.12.2022;20:00:00;Spieltag 12;VfB Friedrichshafen;TSV Haching München;VfB Friedrichshafen;3:0 / 75:50;Messehalle B2 (88046 Friedrichshafen);3:0 / 75:50;2022/23;1. Bundesliga Männer;männlich;03:00;75:50:00;61;1402;3;:;0;25;:;13;20;25;:;20;21;25;:;17;20;;;;;;;;
30.12.2022;17:30:00;Spieltag 13;TSV Haching München;SWD powervolleys Düren;TSV Haching München;1:3 / 76:97;Geothermie Arena (82008 Unterhaching);1:3 / 76:97;2022/23;1. Bundesliga Männer;männlich;01:03;76:97;107;250;1;:;3;25;:;22;33;13;:;25;21;23;:;25;28;15;:;25;25;;;;
30.12.2022;20:00:00;Spieltag 13;SVG Lüneburg;VfB Friedrichshafen;SVG Lüneburg;2:3 / 98:114;LKH Arena (21339 Lüneburg);2:3 / 98:114;2022/23;1. Bundesliga Männer;männlich;02:03;98:114;130;3250;2;:;3;18;:;25;23;27;:;25;31;18;:;25;26;26;:;24;31;9;:;15;19
03.01.2023;20:00:00;Spieltag 16;WWK Volleys Herrsching;TSV Haching München;WWK Volleys Herrsching;3:1 / 101:89;BMW Park (81373 München);3:1 / 101:89;2022/23;1. Bundesliga Männer;männlich;03:01;101:89;105;1200;3;:;1;25;:;23;26;25;:;18;24;26;:;28;31;25;:;20;24;;;;
04.01.2023;19:30:00;Spieltag 12;BERLIN RECYCLING Volleys;SVG Lüneburg;BERLIN RECYCLING Volleys;3:1 / 96:83;Max-Schmeling-Halle (10437 Berlin);3:1 / 96:83;2022/23;1. Bundesliga Männer;männlich;03:01;96:83;105;3476;3;:;1;21;:;25;26;25;:;21;27;25;:;14;23;25;:;23;29;;;;
07.01.2023;17:30:00;Spieltag 14;VCO Berlin;SWD powervolleys Düren;VCO Berlin;0:3 / 55:75;Sportforum Berlin (13053 Berlin);0:3 / 55:75;2022/23;1. Bundesliga Männer;männlich;00:03;55:75;76;88;0;:;3;15;:;25;23;18;:;25;26;22;:;25;27;;;;;;;;
07.01.2023;17:30:00;Spieltag 14;BERLIN RECYCLING Volleys;Energiequelle Netzhoppers KW-Bestensee;BERLIN RECYCLING Volleys;3:0 / 75:45;Max-Schmeling-Halle (10437 Berlin);3:0 / 75:45;2022/23;1. Bundesliga Männer;männlich;03:00;75:45:00;73;5438;3;:;0;25;:;16;29;25;:;12;21;25;:;17;23;;;;;;;;
07.01.2023;20:00:00;Spieltag 14;VfB Friedrichshafen;WWK Volleys Herrsching;VfB Friedrichshafen;1:3 / 88:97;SPACETECH ARENA (88046 Friedrichshafen);1:3 / 88:97;2022/23;1. Bundesliga Männer;männlich;01:03;88:97;112;1000;1;:;3;22;:;25;27;25;:;22;27;19;:;25;29;22;:;25;29;;;;
08.01.2023;15:00:00;Spieltag 14;SVG Lüneburg;TSV Haching München;SVG Lüneburg;3:0 / 75:58;LKH Arena (21339 Lüneburg);3:0 / 75:58;2022/23;1. Bundesliga Männer;männlich;03:00;75:58:00;73;2150;3;:;0;25;:;20;23;25;:;18;26;25;:;20;24;;;;;;;;
11.01.2023;18:00:00;Spieltag 12;VCO Berlin;Energiequelle Netzhoppers KW-Bestensee;VCO Berlin;0:3 / 53:75;Sportforum Berlin (13053 Berlin);0:3 / 53:75;2022/23;1. Bundesliga Männer;männlich;00:03;53:75;76;68;0;:;3;20;:;25;25;17;:;25;27;16;:;25;24;;;;;;;;
14.01.2023;17:30:00;Spieltag 15;Helios GRIZZLYS Giesen;BERLIN RECYCLING Volleys;Helios GRIZZLYS Giesen;3:0 / 75:58;Volksbank-Arena Hildesheim (31137 Hildesheim);3:0 / 75:58;2022/23;1. Bundesliga Männer;männlich;03:00;75:58:00;83;1713;3;:;0;25;:;20;26;25;:;16;25;25;:;22;32;;;;;;;;
14.01.2023;19:00:00;Spieltag 15;Energiequelle Netzhoppers KW-Bestensee;VfB Friedrichshafen;Energiequelle Netzhoppers KW-Bestensee;0:3 / 58:75;Landkost-Arena Bestensee (15741 Bestensee);0:3 / 58:75;2022/23;1. Bundesliga Männer;männlich;00:03;58:75;79;410;0;:;3;22;:;25;26;16;:;25;24;20;:;25;29;;;;;;;;
14.01.2023;20:00:00;Spieltag 15;WWK Volleys Herrsching;SVG Lüneburg;WWK Volleys Herrsching;0:3 / 62:75;BMW Park (81373 München);0:3 / 62:75;2022/23;1. Bundesliga Männer;männlich;00:03;62:75;81;1100;0;:;3;23;:;25;27;23;:;25;29;16;:;25;25;;;;;;;;
15.01.2023;16:00:00;Spieltag 15;TSV Haching München;VCO Berlin;TSV Haching München;3:0 / 75:65;Geothermie Arena (82008 Unterhaching);3:0 / 75:65;2022/23;1. Bundesliga Männer;männlich;03:00;75:65;78;350;3;:;0;25;:;20;24;25;:;23;28;25;:;22;26;;;;;;;;
18.01.2023;19:00:00;Spieltag 16;SVG Lüneburg;Energiequelle Netzhoppers KW-Bestensee;SVG Lüneburg;3:1 / 97:82;LKH Arena (21339 Lüneburg);3:1 / 97:82;2022/23;1. Bundesliga Männer;männlich;03:01;97:82;101;1430;3;:;1;25;:;19;26;25;:;17;24;22;:;25;25;25;:;21;26;;;;
18.01.2023;19:30:00;Spieltag 16;BERLIN RECYCLING Volleys;SWD powervolleys Düren;BERLIN RECYCLING Volleys;3:1 / 108:95;Max-Schmeling-Halle (10437 Berlin);3:1 / 108:95;2022/23;1. Bundesliga Männer;männlich;03:01;108:95;140;3691;3;:;1;31;:;33;56;27;:;25;32;25;:;17;25;25;:;20;27;;;;
18.01.2023;20:00:00;Spieltag 16;VfB Friedrichshafen;Helios GRIZZLYS Giesen;VfB Friedrichshafen;3:1 / 98:89;SPACETECH ARENA (88046 Friedrichshafen);3:1 / 98:89;2022/23;1. Bundesliga Männer;männlich;03:01;98:89;107;938;3;:;1;23;:;25;28;25;:;19;24;25;:;23;27;25;:;22;28;;;;
20.01.2023;18:00:00;Spieltag 17;VCO Berlin;BERLIN RECYCLING Volleys;VCO Berlin;0:3 / 55:75;Sportforum Berlin (13053 Berlin);0:3 / 55:75;2022/23;1. Bundesliga Männer;männlich;00:03;55:75;71;387;0;:;3;18;:;25;23;14;:;25;22;23;:;25;26;;;;;;;;
21.01.2023;17:30:00;Spieltag 17;Energiequelle Netzhoppers KW-Bestensee;WWK Volleys Herrsching;Energiequelle Netzhoppers KW-Bestensee;1:3 / 80:94;Landkost-Arena Bestensee (15741 Bestensee);1:3 / 80:94;2022/23;1. Bundesliga Männer;männlich;01:03;80:94;95;411;1;:;3;25;:;19;22;19;:;25;25;17;:;25;24;19;:;25;24;;;;
21.01.2023;20:00:00;Spieltag 17;Helios GRIZZLYS Giesen;SVG Lüneburg;Helios GRIZZLYS Giesen;0:3 / 62:75;Volksbank-Arena Hildesheim (31137 Hildesheim);0:3 / 62:75;2022/23;1. Bundesliga Männer;männlich;00:03;62:75;86;2110;0;:;3;21;:;25;29;18;:;25;27;23;:;25;30;;;;;;;;
22.01.2023;17:30:00;Spieltag 17;SWD powervolleys Düren;VfB Friedrichshafen;SWD powervolleys Düren;2:3 / 101:109;Arena Kreis Düren (52349 Düren);2:3 / 101:109;2022/23;1. Bundesliga Männer;männlich;02:03;101:109;117;2200;2;:;3;22;:;25;24;26;:;24;30;25;:;20;25;17;:;25;24;11;:;15;14
28.01.2023;19:15:00;Spieltag 18;TSV Haching München;Energiequelle Netzhoppers KW-Bestensee;TSV Haching München;3:2 / 96:100;Geothermie Arena (82008 Unterhaching);3:2 / 96:100;2022/23;1. Bundesliga Männer;männlich;03:02;96:100;108;350;3;:;2;25;:;18;23;25;:;20;25;14;:;25;22;17;:;25;23;15;:;12;15
28.01.2023;19:30:00;Spieltag 18;SVG Lüneburg;SWD powervolleys Düren;SVG Lüneburg;2:3 / 94:104;LKH Arena (21339 Lüneburg);2:3 / 94:104;2022/23;1. Bundesliga Männer;männlich;02:03;94:104;120;3050;2;:;3;20;:;25;26;25;:;16;24;13;:;25;25;25;:;23;29;11;:;15;16
28.01.2023;19:45:00;Spieltag 18;VfB Friedrichshafen;VCO Berlin;VfB Friedrichshafen;3:0 / 75:58;SPACETECH ARENA (88046 Friedrichshafen);3:0 / 75:58;2022/23;1. Bundesliga Männer;männlich;03:00;75:58:00;72;1000;3;:;0;25;:;18;23;25;:;21;24;25;:;19;25;;;;;;;;
28.01.2023;20:00:00;Spieltag 18;WWK Volleys Herrsching;Helios GRIZZLYS Giesen;WWK Volleys Herrsching;0:3 / 60:75;BMW Park (81373 München);0:3 / 60:75;2022/23;1. Bundesliga Männer;männlich;00:03;60:75;76;1800;0;:;3;20;:;25;24;21;:;25;28;19;:;25;24;;;;;;;;
