line;1;;1;;2;;2;;3;;3;;4;;4;;5;;5;
n;10;;10;;10;;9;;10;;10;;9;;10;;10;;10;
sex;F;;M;;F;;M;;F;;M;;F;;M;;F;;M;
Dry Mass, mg/ homogenate;;;;;;;;;;;;;;;;;;;;
HPS;1.67;0.032;1.23;0.018;1.63;0.035;1.33;0.011;1.69;0.022;1.28;0.016;1.61;0.028;1.26;0.022;1.76;0.019;1.41;0.021
EPS;1.67;0.019;1.23;0.01;1.75;0.032;1.36;0.048;1.67;0.011;1.27;0.022;1.61;0.019;1.2;0.01;1.78;0.021;1.41;0.017
LPS;1.62;0.024;1.18;0.029;1.68;0.015;1.27;0.013;1.61;0.017;1.26;0.017;1.72;0.028;1.21;0.02;1.79;0.045;1.34;0.028
;;;;;;;;;;;;;;;;;;;;
Protein, μg/ml homogenate ;;;;;;;;;;;;;;;;;;;;
HPS;324;13.7;247;17;364;13.4;276;8.79;331;15.9;251;16.5;292;19.1;226;11.6;336;9.85;271;11.4
EPS;365;15.2;259;6.71;348;17.8;282;12.5;317;10.9;260;12.8;300;11.3;213;8.23;358;11.4;260;15.6
LPS;320;12;245;10.9;333;33.2;204;14;311;8.23;251;10.3;286;14.6;196;8.02;266;25.7;248;14.3
;;;;;;;;;;;;;;;;;;;;
Triglycerides, μg/ml homogenate ;;;;;;;;;;;;;;;;;;;;
HPS;111;6.95;92.9;4.96;114;9.9;101;5.44;125;7.05;103;5.57;127;10.36;99.7;9.03;141;6.57;129;7.04
EPS;157;7.32;109;3.6;159;11.1;133;8.76;137;8.97;104;9.45;125;14.4;98.7;10.5;145;3.56;122;3.27
LPS;157;8.83;107;6.14;270;25.2;152;10.9;188;8.62;129;4.86;155;13.4;110;6.54;171;13.2;125;9.1
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Glycogen, μg/ml homogenate ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
51.5 ± 3.96 29.6 ± 1.78 40.0 ± 4.67 29.3 ± 2.46 44.5 ± 3.41 28.3 ± 1.42 33.1 ± 1.70 26.1 ± 1.73 51.1 ± 2.50 40.1 ± 2.06 ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
61.3 ± 3.61 36.2 ± 2.22 57.2 ± 4.13 42.4 ± 2.77 60.6 ± 5.40 28.5 ± 2.69 43.8 ± 4.04 26.9 ± 1.38 61.6 ± 4.23 40.5 ± 1.58 ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
71.7 ± 5.79 40.1 ± 3.29 69.2 ± 8.54 29.4 ± 2.76 45.4 ± 2.67 31.9 ± 2.60 59.0 ± 6.50 26.6 ± 1.30 54.0 ± 4.50 40.5 ± 4.40 ;;;;;;;;;;;;;;;;;;;;